LEGISLATURA,ARCHIVO_FUENTE,NOMBRE_Y_APELLIDOS,ESTADO_CIVIL,REGIMEN_ECONOMICO_MATRIMONIAL,FECHA_ELECCION_PARLAMENTARIO,FECHA_PRESENTACION_CREDENCIAL_CAMARA,CARGO,CIRCUNSCRIPCION,RENTAS_NUM_PERCEPCIONES_SALARIALES,RENTAS_TOTAL_SALARIALES,RENTAS_DETALLE_SALARIALES,RENTAS_NUM_DIVIDENDOS,RENTAS_TOTAL_DIVIDENDOS,RENTAS_DETALLE_DIVIDENDOS,RENTAS_NUM_INTERESES,RENTAS_TOTAL_INTERESES,RENTAS_DETALLE_INTERESES,RENTAS_NUM_OTRAS,RENTAS_TOTAL_OTRAS,RENTAS_DETALLE_OTRAS,CANTIDAD_PAGADA_POR_IRPF,BIENES_NUM_INMUEBLES_URBANOS,BIENES_DETALLE_INMUEBLES_URBANOS,BIENES_NUM_INMUEBLES_RUSTICOS,BIENES_DETALLE_INMUEBLES_RUSTICOS,BIENES_NUM_SOCIEDADES_NO_COTIZADAS,BIENES_DETALLE_SOCIEDADES_NO_COTIZADAS,DEPOSITOS_NUM_CUENTAS,DEPOSITOS_SALDO_TOTAL,DEPOSITOS_DETALLE_CUENTAS,OTROS_BIENES_NUM_DEUDA_PUBLICA,OTROS_BIENES_DETALLE_DEUDA_PUBLICA,OTROS_BIENES_NUM_ACCIONES,OTROS_BIENES_DETALLE_ACCIONES,OTROS_BIENES_NUM_SOCIEDADES_MAS_5PCT,OTROS_BIENES_DETALLE_SOCIEDADES_MAS_5PCT,VEHICULOS_NUM_TOTAL,VEHICULOS_DESCRIPCION,OTROS_NO_DECLARADOS_NUM,OTROS_NO_DECLARADOS_VALOR_TOTAL,OTROS_NO_DECLARADOS_DESCRIPCION,DEUDAS_NUM_TOTAL,DEUDAS_IMPORTE_CONCEDIDO_TOTAL,DEUDAS_SALDO_PENDIENTE_TOTAL,DEUDAS_DESCRIPCION_ACREEDOR,OBSERVACIONES,TOTAL_INGRESOS_DECLARADOS,TOTAL_ACTIVOS_LIQUIDOS,POSICION_NETA_LIQUIDA,depositos_saldo_total_directo,num_otros_bienes_derechos,otros_bienes_derechos_detalle
XIII,deputy_001_assets_000005_000_e_0000017_20190506.json,ANA MARÍA PASTOR JULIÁN,casada,Gananciales,28 de abril de 2019,,Diputado,PONTEVEDRA,1,736.02,"concepto:Trienios Servicio Galego de Saude; euros:736,02",0,0.0,,1,158.04,"concepto:Rendimiento bruto año fiscal 2018; euros:158,04",1,72.2,"concepto:Títulos; euros:72,20",78464.79,4,"clase:Piso 130,74 m2. Valor catastral 106.831,98 con plaza de garaje de 13 m2. Valor catastral 7.620,82; situacion:PONTEVEDRA; fecha_adquisicion:08/08/1995; derecho:PLENO DOMINIO COMPRA VENTA 50% DEL DECLARANTE | clase:Plaza de Garaje 12 m2. Valor catastral 5.520,86; situacion:PONTEVEDRA; fecha_adquisicion:20/10/1998; derecho:PLENO DOMINIO COMPRA VENTA 50% DEL DECLARANTE | clase:Piso de 64,61 m2. Valor catastral 103.420,68; situacion:MADRID; fecha_adquisicion:27/05/2005; derecho:PLENO DOMINIO COMPRA VENTA 50% DEL DECLARANTE | clase:Piso de 96,13 m2. Valor catastral 71.379,90 con plaza de garaje de 16,58 m2. Valor catastral 8.665,36; situacion:PONTEVEDRA; fecha_adquisicion:24/06/2010; derecho:PLENO DOMINIO COMPRA VENTA 50% DEL DECLARANTE",0,,0,,1,0.0,"tipo:Cuentas corrientes; saldo:658.247,7 € (50% DEL DECLARANTE)",0,,0,,0,,2,fecha_adquisicion:28/10/2008; descripcion:MODELO BMW - X3 3.0.D (50% DEL DECLARANTE) | fecha_adquisicion:15/04/2019; descripcion:MODELO MINI COOPER D (50% DEL DECLARANTE),1,0.0,descripcion:PLAN DE PENSIONES NOVA CAIXA GALICIA: DERECHOS ECONÓMICOS CONSOLIDADOS A,0,0.0,0.0,,,966.26,0.0,0.0,,,
XIII,deputy_001_assets_000005_002_e_0010974_20191119.json,AMA MARIA PASTOR JULIAN,,,,,Diputada,PONTEVEDRA,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,0,,0,,0,,0,0.0,,0,,0,,0,,0,,0,0.0,,0,0.0,0.0,,La declaración final de bienes y rentas coincide exactamente con la declaración de bienes y rentas cumplimentada al presentar la credencial de Diputada electa de la XIV Legislatura.,0.0,0.0,0.0,,,
XIII,deputy_002_assets_000002_000_e_0000008_20190506.json,MARIANA DE GRACIA CANALES DUQUE,DIVORCIADA,,28/04/2019,06/05/2019,Diputado,CUENCA,1,46875.11,"procedencia:NOMINA JCCM; concepto:Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones; euros:46.875,11",0,0.0,,0,0.0,,0,0.0,,9905.14,3,clase:PISO; situacion:CUENCA; fecha_adquisicion:2005; derecho:PLENO DOMINIO; titulo:COMPRAVENTA | clase:GARAGE; situacion:CUENCA; fecha_adquisicion:2005; derecho:PLENO DOMINIO; titulo:COMPRAVENTA | clase:CASA; situacion:PUERTOLLANO; fecha_adquisicion:2007; derecho:DOMINIO COMPARTIDO; titulo:HERENCIA,1,clase:FINCA RÚSTICA; situacion:PUERTOLLANO; fecha_adquisicion:2007; derecho:DOMINIO COMPARTIDO; titulo:HERENCIA,0,,1,6000.0,tipo:CUENTA CORRIENTE; saldo:6.000 €,0,,0,,0,,1,fecha_adquisicion:01/07/2011; descripcion:VOLVO S40,0,0.0,,1,120000.0,92000.0,fecha_concesion:01/07/2011; importe_concedido:120000; saldo_pendiente:92000,,46875.11,6000.0,-86000.0,,,
XIII,deputy_002_assets_000002_002_e_0009961_20191004.json,MARIANA DE GRACIA CANALES DUQUE,DIVORCIADA,,28/04/2019,06/05/2019,Senador,CUENCA,1,46875.11,"concepto:NÓMINA JCCM; euros:46.875,11",0,0.0,,0,0.0,,0,0.0,,9905.14,3,clase:PISO; situacion:CUENCA; fecha_adquisicion:2005; derecho:PLENO DOMINIO; titulo:HERENCIA | clase:GARAGE; situacion:CUENCA; fecha_adquisicion:2005; derecho:PLENO DOMINIO; titulo:HERENCIA | clase:CASA; situacion:PUERTOLLANO (CIUDAD REAL); fecha_adquisicion:2007; derecho:DOMINIO COMPARTIDO; titulo:HERENCIA,1,clase:FINCA RÚSTICA; situacion:PUERTOLLANO (CIUDAD REAL); fecha_adquisicion:2007; derecho:DOMINIO COMPARTIDO; titulo:HERENCIA,0,,1,8000.0,tipo:CUENTA CORRIENTE; saldo:8.000,0,,0,,0,,1,fecha_adquisicion:01/07/2011; descripcion:VOLVO S40,0,0.0,,1,120000.0,91000.0,fecha_concesion:01/07/2011; importe_concedido:120000; saldo_pendiente:91000,,46875.11,8000.0,-83000.0,,,
XIII,deputy_003_assets_000001_000_e_0000005_20190506.json,LUIS CARLOS SAHUQUILLO GARCIA,DIVORCIADO,,ELECCIONES GENERALES 28 ABRIL 2019,6 DE MAYO DE 2019,Diputado,CUENCA,1,3319.68,concepto:TRIENIOS COMO FUNCIONARIO DE LA JUNTA DE COMUNIDADES DE CASTILLA-LA MANCHA; euros:3319.68,0,0.0,,0,0.0,,0,0.0,,9450.42,2,"clase:PISO (118 M2) VALOR CATASTRAL (85,559.53); situacion:CUENCA; fecha_adquisicion:SEPTIEMBRE 1999; derecho:PLENO DOMINIO 50 % COMPRAVENTA | clase:PLAZA GARAJE (25.55 M2) VALOR CATASTRAL (5,351.99); situacion:CUENCA; fecha_adquisicion:SEPTIEMBRE 1999; derecho:PLENO DOMINIO 50 % COMPRAVENTA",0,,0,,2,85417.58,saldo:50417.58 | saldo:35000,0,,0,,0,,1,fecha_adquisicion:10-7-14; descripcion:VEHICULO AUDI A6 TDI 2.0 (MATRICULADO EN AGOSTO DE 2010),0,0.0,,1,0.0,0.0,,"PLAN DE PENSIONES DEL CONGRESO DE LOS DIPUTADOS 23.726,26 € (15.726,26 € DEL CONGRESO APORTADO EN LA IX LEGISLATURA Y 8.000 DE APORTACIÓN PERSONAL EN DICIEMBRE DE 2015)",3319.68,85417.58,85417.58,,,
XIII,deputy_003_assets_000001_002_e_0010928_20191118.json,Luis Carlos Santurbiolo García,,,,,Diputado,Cuad,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,0,,0,,0,,0,0.0,,0,,0,,0,,0,,0,0.0,,0,0.0,0.0,,La declaración final de bienes y rentas coincide exactamente con la declaración de bienes y rentas cumplimentada al presentar la credencial de Diputado electo de la XIV Legislatura.,0.0,0.0,0.0,,,
XIII,deputy_004_assets_000006_000_e_0000018_20190506.json,MARÍA DEL CARMEN PITA CARDENES,DIVORCIADA,,28 DE ABRIL DE 2019,06 DE MAYO DE 2019,Diputado,,1,6099.24,concepto:TRIENIOS EN CALIDAD DE GESTORA DE LA ADMINISTRACIÓN DE JUSTICIA; euros:6099.24,0,0.0,,0,0.0,,0,0.0,,14506.76,2,clase:PISO; situacion:LAS PALMAS GC; fecha_adquisicion:1984; derecho:PROPIEDAD; titulo:COMPRAVENTA | clase:APARTAMENTO; situacion:PUERTO ROSARIO; fecha_adquisicion:2018; derecho:PROPIEDAD; titulo:COMPRAVENTA,0,,0,,1,3000.0,tipo:CUENTA CORRIENTE; saldo:3000,0,,0,,0,,1,fecha_adquisicion:2004; descripcion:NISSAN MICRA,0,0.0,,0,0.0,0.0,,,6099.24,3000.0,3000.0,,,
XIII,deputy_004_assets_000006_002_e_0010536_20191024.json,MARÍA DEL CARMEN PITA CÁRDENAS,DIVORCIADA,,28 ABRIL 2019,06/5/19,Diputado,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,0,,0,,0,,0,0.0,,0,,0,,0,,0,,0,0.0,,0,0.0,0.0,,ME REMITO A MI DECLARACIÓN ANTERIOR,0.0,0.0,0.0,,,
XIII,deputy_005_assets_000004_000_e_0000015_20190506.json,PAU MORLÁ FLORIT,CASADO,SEPARACIÓN DE BIENES,28 DE ABRIL DE 2019,6 DE MAYO DE 2019,Senador,ILLES BALEARS,1,38885.57,concepto:SUELDO PROFESOR (CAIB); euros:38885.57,1,867.89,concepto:SEGURO DE VIDA; euros:867.89,1,149.58,concepto:RENDIMIENTOS DE DEPÓSITOS; euros:149.58,0,0.0,,7745.64,0,,0,,0,,1,32116.11,tipo:CUENTA CORRIENTE; saldo:32116.11,0,,0,,0,,1,fecha_adquisicion:ABRIL 2017; descripcion:COCHE PEUGEOT 206 BLANCO,2,65739.26000000001,concepto:PLAN DE PENSIONES; valor:40220.87 | concepto:FONDO DE INVERSIÓN; valor:25518.39,0,0.0,0.0,,,39903.04,97855.37,97855.37,,,
XIII,deputy_005_assets_000004_002_e_0009755_20190927.json,PAU MORLÁ FLORIT,CASADO,SEPARACIÓN DE BIENES,28 DE ABRIL DE 2019,6 DE MAYO DE 2019,Diputado,ILLES BALEARS,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,0,,0,,0,,0,0.0,,0,,0,,0,,0,,0,0.0,,0,0.0,0.0,,ME REMITO AL CONTENIDO DE MI DECLARACIÓN DE BIENES Y RENTAS PRESENTADA ANTERIORMENTE,0.0,0.0,0.0,,,
