cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
1,Héctor Palencia Rubio,True,True,,https://www.instagram.com/hectorpalenciar/,https://twitter.com/HectorPalenciaR,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=1&idLegislatura=XV&mostrarAgenda=false
2,Tomás Cabezón Casas,True,True,,https://www.instagram.com/tomascabezoncasas/,https://twitter.com/tcabcas,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=2&idLegislatura=XV&mostrarAgenda=false
3,María Luisa Del Moral Leal,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=3&idLegislatura=XV&mostrarAgenda=false
4,Francisco José Alcaraz Martos,True,True,,,https://twitter.com/fjosealcaraz,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=4&idLegislatura=XV&mostrarAgenda=false
5,María de las Nieves Ramírez Moreno,True,True,,,https://twitter.com/MNievesRamirez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=5&idLegislatura=XV&mostrarAgenda=false
6,Susana Sumelzo Jordán,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=6&idLegislatura=XV&mostrarAgenda=false
7,Agustín Conde Bajén,True,True,,,https://twitter.com/AgustinCondeB,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=7&idLegislatura=XV&mostrarAgenda=false
8,Isabel María Pérez Ortiz,True,True,,https://www.instagram.com/isabelperezmarbella/,https://twitter.com/23IsaPerez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=8&idLegislatura=XV&mostrarAgenda=false
9,Juan Bravo Baena,True,True,,https://www.instagram.com/juan.bravo.baena/,https://twitter.com/juanBravoBaena,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=9&idLegislatura=XV&mostrarAgenda=false
10,Luis Carlos Sahuquillo García,True,True,,,https://twitter.com/lcsahuquillo,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=10&idLegislatura=XV&mostrarAgenda=false
11,Luis Alfonso Rey de las Heras,True,True,,,https://twitter.com/LuisReyHeras,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=11&idLegislatura=XV&mostrarAgenda=false
12,Carlos Rojas García,True,True,https://www.facebook.com/Carlos-Rojas-Garc%C3%ADa-166753193370543,,https://twitter.com/CarlosRojas_PPA,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=12&idLegislatura=XV&mostrarAgenda=false
13,Ana María Pastor Julián,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=13&idLegislatura=XV&mostrarAgenda=false
