metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion,personal_fecha_eleccion,metadata_tipo_declaracion,seccion,item_index,actividad_periodo,actividad_empleador,actividad_sector,actividad_descripcion,donacion_benefactor,donacion_descripcion,fundacion_destinatario,fundacion_descripcion,otros_texto,firma_fecha,metadata_archivo_origen
000001,Palencia Rubio,Héctor,Ávila,31 de julio de 2023,,actividades,0.0,,Partido Popular de Castilla y León,Cargos en partidos o grupos parlamentarios,"Vicesecretario de organización y territorial del Partido Popular de Castilla y León, sin remuneración.",,,,,,,deputy_000001_interests_registro_intereses_diputado_1.pdf
000001,Palencia Rubio,Héctor,Ávila,31 de julio de 2023,,actividades,1.0,,Centro comercial El Bulevar de Ávila,Actividades privadas autorizadas,"Gerente del centro comercial El Bulevar de Ávila, en excedencia desde el 1 de agosto de 2023.",,,,,,,deputy_000001_interests_registro_intereses_diputado_1.pdf
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,,actividades,0.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Alcalde de Castilfrío de la Sierra (Soria),,sin percibir ningún tipo de remuneración.,,,,,,,deputy_000002_interests_registro_intereses_diputado_2.pdf
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,,actividades,1.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Vocal de la Mancomunidad de Tierras Altas,,"sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",,,,,,,deputy_000002_interests_registro_intereses_diputado_2.pdf
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,,actividades,2.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Vicesecretario provincial del Partido Popular de Soria,,sin retribución.,,,,,,,deputy_000002_interests_registro_intereses_diputado_2.pdf
000004,Alcaraz Martos,Francisco José,Jaén,1 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"Declaración de Actividades, de 1 de agosto de 2023. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000004_interests_registro_intereses_diputado_4.pdf
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,,actividades,0.0,,Ayuntamiento de Torrox (Málaga),Cargos públicos,"Concejala del Ayuntamiento de Torrox (Málaga), sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",,,,,,,deputy_000005_interests_registro_intereses_diputado_5.pdf
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,,actividades,1.0,Fecha del acuerdo plenario definitivo: 19.12.2023,PSOE,Cargos en partidos ó grupos parlamentarios,"Vocal de la Comisión Ejecutiva Federal del PSOE, sin retribución.",,,,,,,deputy_000005_interests_registro_intereses_diputado_5.pdf
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,,actividades,2.0,Fecha del acuerdo plenario definitivo: 19.12.2023,PSOE en Torrox (Málaga),Cargos en partidos ó grupos parlamentarios,Secretaria General del PSOE en Torrox (Málaga).,,,,,,,deputy_000005_interests_registro_intereses_diputado_5.pdf
000005,Ramírez Moreno,María de las Nieves,Málaga,1 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 1 de agosto de 2023. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2",,deputy_000005_interests_registro_intereses_diputado_5.pdf
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,actividades,0.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Armada,Cuerpo General de la Armada,Alférez de Fragata del Cuerpo General de la Armada. Reservista voluntario.,,,,,,,deputy_000007_interests_registro_intereses_diputado_7.pdf
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,actividades,1.0,Fecha del acuerdo plenario definitivo: 19.12.2023,PP de Castilla-La Mancha,Comité Ejecutivo Regional,Vocal del Comité Ejecutivo Regional del PP de Castilla-La Mancha.,,,,,,,deputy_000007_interests_registro_intereses_diputado_7.pdf
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,actividades,2.0,Fecha del acuerdo plenario definitivo: 19.12.2023,PP de la provincia de Toledo,Comité Ejecutivo Provincial,Vocal del Comité Ejecutivo Provincial del PP de la provincia de Toledo.,,,,,,,deputy_000007_interests_registro_intereses_diputado_7.pdf
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,actividades,3.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Consejo Social de la Ciudad de Toledo,Consejo Social,"Miembro del Consejo Social de la Ciudad de Toledo, sin retribución.",,,,,,,deputy_000007_interests_registro_intereses_diputado_7.pdf
000007,Conde Bajén,Agustín,Toledo,1 de agosto de 2023,,actividades,4.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Real Fundación de Toledo,Junta de Protectores,"Miembro de la Junta de Protectores de la Real Fundación de Toledo, sin retribución.",,,,,,,deputy_000007_interests_registro_intereses_diputado_7.pdf
