metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion_asamblea,personal_fecha_eleccion_designacion,metadata_numero_registro,metadata_tipo_declaracion,seccion,actividad_cargo,actividad_descripcion,actividad_fecha,actividad_index,actividad_notas,actividad_remuneracion,actividad_tipo,firma_fecha_firma,firma_nombre,metadata_archivo_origen,metadata_numero_libro,metadata_tipo_documento,observaciones_extraccion,otros_intereses_texto,seccion_i_descripcion,seccion_ii_descripcion,seccion_iii_descripcion,seccion_iv_descripcion
000001,Palencia Rubio,Héctor,Ávila,31 de julio de 2023,1,XV LEGISLATURA,actividades_previas,,"Vicesecretario de organización y territorial del Partido Popular de Castilla y León, sin remuneración.",19.12.2023,0.0,,,Cargos en partidos o grupos parlamentarios,,,deputy_000001_interests_registro_intereses_diputado_1.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que no han sido incluidas en el JSON."", ""Las fechas y descripciones se han extraído tal cual aparecen en el texto.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000001,Palencia Rubio,Héctor,Ávila,31 de julio de 2023,1,XV LEGISLATURA,actividades_previas,,"Gerente del centro comercial El Bulevar de Ávila, en excedencia desde el 1 de agosto de 2023.",19.12.2023,1.0,,,Actividades privadas autorizadas,,,deputy_000001_interests_registro_intereses_diputado_1.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que no han sido incluidas en el JSON."", ""Las fechas y descripciones se han extraído tal cual aparecen en el texto.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000001,Palencia Rubio,Héctor,Ávila,31 de julio de 2023,1,XV LEGISLATURA,otros_intereses,,,,,,,,,,deputy_000001_interests_registro_intereses_diputado_1.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene algunas secciones vacías que no han sido incluidas en el JSON."", ""Las fechas y descripciones se han extraído tal cual aparecen en el texto.""]","1. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG.
2. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2 de la LOREG.",Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,"Alcalde de Castilfrío de la Sierra (Soria), sin percibir ningún tipo de remuneración.",19.12.2023,0.0,,,Cargos públicos,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,"Vocal de la Mancomunidad de Tierras Altas, sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",19.12.2023,1.0,,,Cargos públicos,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,"Vicesecretario provincial del Partido Popular de Soria, sin retribución.",19.12.2023,2.0,,,Cargos en partidos ó grupos parlamentarios,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,,,3.0,,,Actividades públicas a las que ha renunciado,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,Prestaciones de derechos pasivos renunciadas.,,4.0,,,Prestaciones de derechos pasivos,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,Prestaciones consideradas compatibles.,,5.0,,,Prestaciones de derechos pasivos,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
000002,Cabezón Casas,Tomás,Soria,31 de julio de 2023,Nº Act 2,Registro de Intereses - Actividades,actividades_previas,,,,6.0,,,Actividades docentes extraordinarias,,,deputy_000002_interests_registro_intereses_diputado_2.pdf,,DECLARACION_INTERESES_ECONOMICOS,"[""El texto OCR contiene repeticiones y notas legales que pueden no ser relevantes para la estructura del JSON."", ""Algunas secciones del documento no contienen información específica.""]",,Actividades desarrolladas en los cinco años anteriores a la obtención del mandato parlamentario,"Donaciones, obsequios y beneficios no remunerados obtenidos en los cinco años anteriores",Fundaciones y otras asociaciones a las que haya contribuido,Otros intereses a declarar / observaciones
