source_file,informacion_personal_nombre_y_apellidos,informacion_personal_estado_civil,informacion_personal_regimen_economico_matrimonial,informacion_personal_fecha_eleccion,informacion_personal_fecha_presentacion_credencial,informacion_personal_cargo,informacion_personal_circunscripcion,facebook,instagram,twitter,website,rentas_percibidas_percepciones_salariales,rentas_percibidas_dividendos_y_participaciones,rentas_percibidas_intereses_financieros,rentas_percibidas_otras_rentas,irpf_cantidad_pagada,bienes_patrimoniales_inmuebles_urbanos,bienes_patrimoniales_inmuebles_rusticos,bienes_patrimoniales_bienes_sociedades_no_cotizadas,depositos_y_cuentas_cuentas,otros_bienes_y_derechos_deuda_publica_y_valores,otros_bienes_y_derechos_acciones_y_participaciones,otros_bienes_y_derechos_sociedades_participadas_mas_5_por_ciento,vehiculos,otros_bienes_no_declarados_anteriormente,deudas_y_obligaciones,observaciones,deputy_id,photo_path,logo_path,hemiciclo_path,name_slug,scraped_salary
deputy_001_assets_000002_000_e_0000007_20230731.json,Héctor Palencia Rubio,Soltero,,23 de Julio de 2023,31 de Julio de 2023,Diputado,Ávila,,https://www.instagram.com/hectorpalenciar/,https://twitter.com/HectorPalenciaR,,"[{""concepto"": ""Director de Gabinete del Presidente de la Junta de Castilla y León"", ""euros"": ""69.834,36 €""}, {""concepto"": ""Director de Administración Local de la Junta de Castilla y León"", ""euros"": null}]",[],[],[],20348.03,"[{""clase_y_caracteristicas"": ""Residencial"", ""situacion"": ""Ávila"", ""fecha_adquisicion"": ""2006"", ""derecho_sobre_el_bien"": ""Propietario (100%)"", ""titulo_adquisicion"": ""Compraventa""}, {""clase_y_caracteristicas"": ""Almacen (Residencial Garage)"", ""situacion"": ""Ávila"", ""fecha_adquisicion"": ""2006"", ""derecho_sobre_el_bien"": ""Propietario (100%)"", ""titulo_adquisicion"": ""Compraventa""}, {""clase_y_caracteristicas"": ""Residencial"", ""situacion"": ""Ávila"", ""fecha_adquisicion"": ""2019"", ""derecho_sobre_el_bien"": ""Nuda Propiedad (16,66%)"", ""titulo_adquisicion"": ""Herencia""}, {""clase_y_caracteristicas"": ""Residencial"", ""situacion"": ""Ávila"", ""fecha_adquisicion"": ""2019"", ""derecho_sobre_el_bien"": ""Nuda Propiedad (16,66%)"", ""titulo_adquisicion"": ""Herencia""}]",[],[],"[{""descripcion"": ""Cuenta Corriente en Caixa Bank y Caja Rural y Seguros de ahorro con AXA S.A., FWU S.A. y PLUS ULTRA"", ""saldo"": ""10.803,87 €""}]","[{""descripcion"": ""81 acciones de Telefonica SA"", ""valor"": ""311,27€""}, {""descripcion"": ""29 acciones de CaixaBank SA"", ""valor"": ""110,26€""}]",[],[],"[{""fecha_adquisicion"": ""2022"", ""descripcion"": ""Mini Countryman SE A Híbrido Enchufable (PHEV)""}]","[{""descripcion"": ""Plan de Pensiones"", ""valor"": ""19.269,85€""}]","[{""descripcion"": ""Hipotecario"", ""fecha_concesion"": ""2008"", ""importe_concedido"": ""140.505,00 €"", ""saldo_pendiente"": ""67.230,26 €""}, {""descripcion"": ""Personal (Vehículo)"", ""fecha_concesion"": ""2022"", ""importe_concedido"": ""35.000,00 €"", ""saldo_pendiente"": ""27.431,93 €""}]",,1,fotos_diputados\deputy_001.jpg,Logo_partidos\deputy_0001.jpg,hemiciclo\hemi_0001_3610.gif,hector-palencia-rubio,91261.66
deputy_002_assets_000001_000_e_0000005_20230731.json,Tomás Cabezón Casas,Casado,Gananciales,23 de Julio de 2023,31 de Julio de 2023,Diputado,SORIA,,https://www.instagram.com/tomascabezoncasas/,https://twitter.com/tcabcas,,[],[],[],[],13583.32,"[{""clase"": ""Vivienda habitual - piso"", ""situacion"": ""Soria"", ""fecha_adquisicion"": ""Diciembre 2010"", ""derecho_y_titulo"": ""Pleno Dominio - Compra venta""}, {""clase"": ""Plaza de aparcamiento"", ""situacion"": ""Soria"", ""fecha_adquisicion"": ""Mayo 2012"", ""derecho_y_titulo"": ""Pleno Dominio - Compra venta""}, {""clase"": ""Plaza de aparcamiento"", ""situacion"": ""Soria"", ""fecha_adquisicion"": ""2021"", ""derecho_y_titulo"": ""Pleno Dominio - Compra venta""}]",[],[],"[{""entidad"": ""Caja Rural"", ""saldo"": 27103}, {""entidad"": ""Caja Rural"", ""saldo"": 71035}, {""entidad"": ""Bankinter"", ""saldo"": 23500}]","[{""descripcion"": ""Fondos de ahorro e inversión Bankinter"", ""valor"": 40850}, {""descripcion"": ""Fondos de ahorro e inversión Caja Rural de Soria"", ""valor"": 21150}]",[],[],"[{""fecha_adquisicion"": ""Marzo 2019"", ""descripcion"": ""Volkswagen Tiguan""}]",[],"[{""descripcion"": ""Préstamo hipotecario destinado a la adquisición de la vivienda habitual"", ""fecha_concesion"": ""21-12-2010"", ""importe_concedido"": 170000, ""saldo_pendiente"": 70847.8}]",,2,fotos_diputados\deputy_002.jpg,Logo_partidos\deputy_0002.jpg,hemiciclo\hemi_0002_5802.gif,tomas-cabezon-casas,91261.66
deputy_003_assets_000004_000_e_0000015_20230801.json,María Luisa del Moral Leal,Casada,Separación de bienes,23/07/23,01-08-23,Diputado,JAÉN,,,,,"[{""concepto"": ""RENTA 2022.PROFESORA TITULAR DE UNIVERSIDAD, hasta 29 de agosto de 2022 y S.G.DE LA JUNTA DE ANDALUCIA, desde el 30 de agosto de 2022."", ""euros"": 69665.95}]",[],"[{""concepto"": ""RENDIMIENTO DEL CAPITAL MOBILIARIO Rendimiento neto reducido"", ""euros"": 1398.49}]","[{""concepto"": ""RENDIMIENTO DEL CAPITAL INMOBILIARIO. Rendimiento neto reducido"", ""euros"": 2033.72}]",23452.59,"[{""clase_y_caracteristicas"": ""VIVIENDA UNIFAMILIAR"", ""situacion"": ""JAÉN (23006)"", ""fecha_adquisicion"": ""30 JUNIO DE 1995"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRA VENTA""}, {""clase_y_caracteristicas"": ""VIVIENDA"", ""situacion"": ""JAÉN (23007)"", ""fecha_adquisicion"": ""7 OCTUBRE 2005"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}, {""clase_y_caracteristicas"": ""VIVIENDA"", ""situacion"": ""JAÉN (23007)"", ""fecha_adquisicion"": ""7 OCTUBRE 2005"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}, {""clase_y_caracteristicas"": ""VIVIENDA"", ""situacion"": ""FUENGIROLA (MÁLAGA)"", ""fecha_adquisicion"": ""2 AGOSTO 2012"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""HERENCIA""}, {""clase_y_caracteristicas"": ""PLAZA DE APARCAMIENTO"", ""situacion"": ""JAÉN"", ""fecha_adquisicion"": ""2 AGOSTO 2012"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""HERENCIA""}, {""clase_y_caracteristicas"": ""TRASTERO"", ""situacion"": ""JAÉN"", ""fecha_adquisicion"": ""2 AGOSTO 2012"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""HERENCIA""}]",[],[],"[{""entidad"": ""SANTANDER"", ""saldo"": 17992.99, ""titularidad"": ""DOS TITULARES""}, {""entidad"": ""INGBANK"", ""saldo"": 76.13, ""titularidad"": ""DOS TITULARES""}, {""entidad"": ""CAJA RURAL"", ""saldo"": 10358.28, ""titularidad"": ""DOS TITULARES""}]","[{""descripcion"": ""ACCIONES BANCO SANTANDER"", ""valor"": 40731.99}, {""descripcion"": ""ACCIONES ENDESA"", ""valor"": 2311.62}, {""descripcion"": ""FONDO MONETARIO SANTANDER (AL 50%)"", ""valor"": 45975.72}, {""descripcion"": ""FONDO SANTANDER VARIABLE (AL 50%)"", ""valor"": 4677.22}, {""descripcion"": ""MUTUA ACTIVOS (AL 50%)"", ""valor"": 5654.0}, {""descripcion"": ""FONDO URBANITAE (AL 50%)"", ""valor"": 10000.0}]",[],[],"[{""fecha_adquisicion"": ""23 DICIEMBRE 2015"", ""descripcion"": ""VOLKSWAGEN GOLF""}, {""fecha_adquisicion"": ""8 SEPTIEMBRE 2018"", ""descripcion"": ""VOLKSWAGEN UP""}]","[{""descripcion"": ""PLAN DE PENSIONES UNIVERSIDAD DE JAÉN"", ""valor"": 5176.71}, {""descripcion"": ""PREVISIÓN MÉDICA SANITARIA"", ""valor"": 10000.0}, {""descripcion"": ""NATIONALE NETHERLANDEN"", ""valor"": 8500.0}]",[],,3,fotos_diputados\deputy_003.jpg,Logo_partidos\deputy_0003.jpg,,maria-luisa-moral-leal,
deputy_004_assets_000003_000_e_0000012_20230801.json,FRANCISCO JOSÉ ALCARAZ MARTOS,VIUDO,,23-7-23,1-8-23,Diputado,JAÉN,,,https://twitter.com/fjosealcaraz,,"[{""procedencia"": ""Congreso Diputados"", ""concepto"": ""Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones"", ""euros"": ""58.590,28""}, {""procedencia"": ""Instituto Nacional de la Seguridad Social"", ""concepto"": ""viudedad"", ""euros"": ""8.131,51""}]",[],[],[],15584.94,"[{""clase"": ""garaje"", ""situacion"": ""Torredonjimeno"", ""fecha_adquisicion"": ""1.992"", ""derecho"": ""propiedad"", ""titulo"": ""herencia""}, {""clase"": ""Solar"", ""situacion"": ""Torredonjimeno"", ""fecha_adquisicion"": ""1.992"", ""derecho"": ""propiedad"", ""titulo"": ""herencia""}]",[],[],"[{""tipo"": ""plan de pensión"", ""saldo"": ""11.928,02""}]",[],[],[],"[{""fecha_adquisicion"": ""01-11-20"", ""descripcion"": ""Audi A6""}]","[{""descripcion"": ""casa móvil"", ""valor"": ""57.000""}]","[{""descripcion"": ""préstamo hipotecario"", ""fecha_concesion"": ""29/05/2009"", ""importe_concedido"": ""76.343,65"", ""saldo_pendiente"": ""36.529,74""}, {""descripcion"": ""préstamo consumo"", ""fecha_concesion"": ""02/10/2020"", ""importe_concedido"": ""27.405"", ""saldo_pendiente"": ""16.566,83""}, {""descripcion"": ""préstamo consumo"", ""fecha_concesion"": ""30/01/2020"", ""importe_concedido"": ""46.920"", ""saldo_pendiente"": ""29.863,97""}, {""descripcion"": ""cuotas pendiente préstamo vehículo"", ""saldo_pendiente"": ""1.357,26""}]",,4,fotos_diputados\deputy_004.jpg,Logo_partidos\deputy_0004.jpg,hemiciclo\hemi_0004_2611.gif,francisco-jose-alcaraz-martos,
deputy_005_assets_000005_000_e_0000019_20230801.json,MARIA DE LAS NIEVES RAMÍREZ MORENO,SOLTERA,,23/07/2023,01/08/2023,Diputado,MÁLAGA,,,https://twitter.com/MNievesRamirez,,"[{""procedencia"": ""GRUPO MUNICIPAL MÁLAGA"", ""concepto"": ""Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones"", ""euros"": 2774.75}]",[],[],[],8927.44,[],[],[],"[{""tipo"": ""Cuenta corriente en entidad bancaria"", ""saldo"": 15000}]",[],[],[],"[{""fecha_adquisicion"": ""2012"", ""descripcion"": ""VOLKSWAGEN GOLF""}, {""fecha_adquisicion"": ""2015"", ""descripcion"": ""HONDA SH 125""}, {""fecha_adquisicion"": ""2019"", ""descripcion"": ""VOLKSWAGEN SPORTVAN""}]",[],"[{""descripcion"": ""HIPOTECA"", ""fecha_concesion"": ""18/12/2023"", ""importe_concedido"": 62400, ""saldo_pendiente"": 42728.79}]",,5,fotos_diputados\deputy_005.jpg,Logo_partidos\deputy_0005.jpg,hemiciclo\hemi_0005_1414.gif,maria-las-nieves-ramirez-moreno,
deputy_005_assets_000005_001_e_0002977_20231023.json,MARIA DE LAS NIEVES RAMÍREZ MORENO,SOLTERA,,23/07/2023,01/08/2023,Senador,MALAGA,,,https://twitter.com/MNievesRamirez,,"[{""procedencia"": ""Grupo Municipal Socialista Mancomunidad Costa del Sol de Málaga"", ""concepto"": ""Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones"", ""euros"": ""2.774,75€ (mensual)""}]",[],[],[],8927.44,"[{""clase_y_caracteristicas"": ""PISO"", ""situacion"": ""TORROX- MÁLAGA"", ""fecha_adquisicion"": ""18/12/2013"", ""derecho_sobre_el_bien"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}]",[],[],"[{""tipo"": ""Cuenta corriente en entidad bancaria"", ""saldo"": ""15.000""}]",[],[],[],"[{""fecha_adquisicion"": ""2012"", ""descripcion"": ""VOLKSWAGEN GOLF""}, {""fecha_adquisicion"": ""2015"", ""descripcion"": ""HONDA SH 125""}, {""fecha_adquisicion"": ""2019"", ""descripcion"": ""VOLKSWAGEN SPORTVAN""}]",[],"[{""prestamo"": ""HIPOTECA"", ""fecha_concesion"": ""18/12/2013"", ""importe_concedido"": ""62.400"", ""saldo_pendiente"": ""42.266""}]",,5,fotos_diputados\deputy_005.jpg,Logo_partidos\deputy_0005.jpg,hemiciclo\hemi_0005_1414.gif,maria-las-nieves-ramirez-moreno,
deputy_006_assets_000006_000_e_0000025_20230801.json,SUSANA SUMELZO JORDAN,DIVORCIADA,,23 DE JULIO DE 2023,1 DE AGOSTO DE 2023,Diputado,,,,,,[],[],[],[],17238.7,"[{""clase"": ""PISO"", ""situacion"": ""ZARAGOZA"", ""fecha_adquisicion"": ""12-11-2019"", ""derecho"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}, {""clase"": ""PISO"", ""situacion"": ""ZARAGOZA"", ""fecha_adquisicion"": ""12-11-2019"", ""derecho"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}, {""clase"": ""PLAZA APARCAMIENTO"", ""situacion"": ""ZARAGOZA"", ""fecha_adquisicion"": ""12-11-2019"", ""derecho"": ""PLENO DOMINIO"", ""titulo_adquisicion"": ""COMPRAVENTA""}]",[],[],"[{""tipo"": ""CUENTA CORRIENTE"", ""saldo"": 43836.44}]",[],[],[],[],"[{""descripcion"": ""PLAN PREVISIÓN SOCIAL CORTES GENERALES"", ""valor"": 24909.68}, {""descripcion"": ""MICROCREDITO AL PSOE (JUNIO 2023)"", ""valor"": 1000}]",[],,6,fotos_diputados\deputy_006.jpg,Logo_partidos\deputy_0006.jpg,,susana-sumelzo-jordan,111762.8
deputy_006_assets_000006_002_e_0008097_20240111.json,SUSANA SUMELZO JORDAN,DIVORCIADA,,23 julio 2023,1 agosto 2023,Diputado,ZARAGOZA,,,,,[],[],[],[],,[],[],[],"[{""saldo"": 8219.75}]",[],[],[],[],[],[],Me remito en todos los apartados no cumplimentados a mi última declaración presentada.,6,fotos_diputados\deputy_006.jpg,Logo_partidos\deputy_0006.jpg,,susana-sumelzo-jordan,111762.8
deputy_007_assets_000007_000_e_0000031_20230801.json,AGUSTÍN CONDE BAJÉN,CASADO,GANANCIALES,23/07/2023,01/08/2023,Diputado,TOLEDO,,,https://twitter.com/AgustinCondeB,,"[{""concepto"": ""Retribuciones dinerarias"", ""euros"": 62000.96}, {""concepto"": ""Actividades económicas"", ""euros"": 20000}]","[{""concepto"": ""Dividendos"", ""euros"": 17.05}]","[{""concepto"": ""Renta inmobiliaria imputada"", ""euros"": 767.89}]","[{""concepto"": ""Renta inmobiliaria imputada"", ""euros"": 767.89}]",10080.66,"[{""clase_y_caracteristicas"": ""Vivienda 7.500 m2 solar 650 m2 construidos"", ""situacion"": ""Toledo"", ""fecha_adquisicion"": ""2007"", ""derecho_sobre_el_bien"": ""Comprasenta y obra nueva pleno dominio 50%""}, {""clase_y_caracteristicas"": ""Casa 2.595 m2 solar 1.507 m2 construidos"", ""situacion"": ""Toledo"", ""fecha_adquisicion"": ""1990"", ""derecho_sobre_el_bien"": ""Herencia. Pleno dominio 32ª parte""}, {""clase_y_caracteristicas"": ""Solar 35.650 m2"", ""situacion"": ""Toledo"", ""fecha_adquisicion"": ""1990"", ""derecho_sobre_el_bien"": ""Herencia. pleno dominio 16ª parte""}, {""clase_y_caracteristicas"": ""Solar 2.231 m2"", ""situacion"": ""Toledo"", ""fecha_adquisicion"": ""1990"", ""derecho_sobre_el_bien"": ""Herencia. pleno dominio 48ª parte""}]",[],[],"[{""tipo"": ""Cuentas a la vista"", ""saldo"": 177963}]",[],"[{""descripcion"": ""Banco Santander"", ""valor"": 853.17}, {""descripcion"": ""Instituto de Liderazgo Político S.L. 20% capital social (600 acciones)"", ""valor"": 600}]",[],"[{""fecha_adquisicion"": ""2021"", ""descripcion"": ""Hyunday Tucson""}, {""fecha_adquisicion"": ""2015"", ""descripcion"": ""Citroën C2""}]","[{""tipo"": ""Plan de pensiones"", ""valor"": 43065.58}, {""tipo"": ""Fondos de inversión"", ""valor"": 80000}]",[],,7,fotos_diputados\deputy_007.jpg,Logo_partidos\deputy_0007.jpg,hemiciclo\hemi_0007_3612.gif,agustin-conde-bajen,91261.66
deputy_008_assets_000008_000_e_0000034_20230801.json,Isabel María Pérez Ortiz,Casada,Gananciales,23 julio 2023,1/8/2023,Diputado,Málaga,,https://www.instagram.com/isabelperezmarbella/,https://twitter.com/23IsaPerez,,"[{""concepto"": ""Sueldo de Concejal Ayto Marbella"", ""euros"": ""3.250,01€/mes""}, {""concepto"": ""Honorarios"", ""euros"": ""641,30€ (AÑO 22, CON IMPUESTOS)""}, {""concepto"": ""Alquileres"", ""euros"": ""1.250€""}]",[],[],[],5701.66,"[{""clase"": ""Vivienda"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2003"", ""derecho"": ""PD/Compraventa""}, {""clase"": ""Vivienda"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2004"", ""derecho"": ""PD/Compraventa""}, {""clase"": ""Vivienda"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2005"", ""derecho"": ""G (50%)/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2003"", ""derecho"": ""PD/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2005"", ""derecho"": ""G(50%)/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2005"", ""derecho"": ""G(50%)/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2005"", ""derecho"": ""G(50%)/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2023"", ""derecho"": ""G(50%)/Compraventa""}, {""clase"": ""Garaje"", ""situacion"": ""Málaga"", ""fecha_adquisicion"": ""2023"", ""derecho"": ""G(50%)/Compraventa""}]",[],[],"[{""saldo"": ""15.817,90 €""}]","[{""descripcion"": ""Caixa"", ""valor"": ""8.885,00€""}, {""descripcion"": ""HNA (Hermandad Nacional de Arquitectos) SPP/Jubilación"", ""valor"": ""68.441,66€""}]",[],[],"[{""fecha_adquisicion"": ""2019"", ""descripcion"": ""Coche""}, {""fecha_adquisicion"": ""2018"", ""descripcion"": ""Moto""}]",[],"[{""prestamo"": ""Cajamar"", ""fecha_concesion"": ""15/07/2004"", ""importe_concedido"": ""114.000"", ""saldo_pendiente"": ""7.278,71 €""}, {""prestamo"": ""Caixa"", ""fecha_concesion"": ""13/12/2005"", ""importe_concedido"": ""205.195,67"", ""saldo_pendiente"": ""97.543,39 € 50%""}]",,8,fotos_diputados\deputy_008.jpg,Logo_partidos\deputy_0008.jpg,hemiciclo\hemi_0008_1817.gif,isabel-maria-perez-ortiz,91261.66
